sample#;AD1;AD2;RSSIrx;RSSItx
1;0;0;71;20
2;0;0;96;32
3;0;0;95;44
4;0;0;96;56
5;0;0;95;68
6;0;0;95;80
7;0;0;95;91
8;0;0;95;94
9;0;0;95;94
10;0;0;95;93
11;0;0;95;94
12;0;0;94;93
13;0;0;95;94
14;0;0;95;94
15;0;0;94;94
16;0;0;94;94
17;0;0;94;94
18;0;0;93;93
19;0;0;93;93
20;0;0;94;92
21;0;0;94;92
22;0;0;94;92
23;0;0;94;92
24;0;0;94;92
25;0;0;94;92
26;0;0;95;93
27;0;0;95;93
28;0;0;95;93
29;0;0;95;94
30;0;0;95;94
31;0;0;95;93
32;0;0;95;93
33;0;0;95;93
34;0;0;95;93
35;0;0;95;93
36;0;0;94;93
37;0;0;93;93
38;0;0;94;93
39;0;0;94;93
40;0;0;93;93
41;0;0;93;93
42;0;0;93;93
43;0;0;93;92
44;0;0;93;92
45;0;0;93;91
46;0;0;93;91
47;0;0;93;91
48;0;0;92;91
49;0;0;92;91
50;0;0;93;91
51;0;0;93;91
52;0;0;93;91
53;0;0;92;91
54;0;0;93;92
55;0;0;92;91
56;0;0;93;91
57;0;0;93;90
58;0;0;93;90
59;0;0;92;91
60;0;0;91;91
61;0;0;91;91
62;0;0;92;91
63;0;0;92;91
64;0;0;93;91
65;0;0;92;91
66;0;0;93;92
67;0;0;92;91
68;0;0;93;91
69;0;0;93;90
70;0;0;93;90
71;0;0;93;91
72;0;0;92;91
73;0;0;92;91
74;0;0;93;91
75;0;0;92;91
76;0;0;93;91
77;0;0;92;91
78;0;0;92;91
79;0;0;92;90
80;0;0;93;90
81;0;0;93;90
82;0;0;93;90
83;0;0;92;90
84;0;0;91;90
85;0;0;92;91
86;0;0;93;91
87;0;0;93;91
88;0;0;94;91
89;0;0;93;92
90;0;0;93;92
91;0;0;93;91
92;0;0;93;91
93;0;0;93;91
94;0;0;93;91
95;0;0;92;91
96;0;0;91;91
97;0;0;91;91
98;0;0;92;91
99;0;0;92;91
100;0;0;92;91
101;0;0;92;91
102;0;0;92;91
103;0;0;92;91
104;0;0;93;91
105;0;0;92;90
106;0;0;92;90
107;0;0;92;91
108;0;0;91;90
109;0;0;92;91
110;0;0;92;91
111;0;0;92;91
112;0;0;92;91
113;0;0;91;91
114;0;0;91;91
115;0;0;91;90
116;0;0;92;90
117;0;0;92;90
118;0;0;92;89
119;0;0;92;90
120;0;0;91;90
121;0;0;91;90
122;0;0;93;91
123;0;0;93;91
124;0;0;93;91
125;0;0;93;92
126;0;0;94;92
127;0;0;94;91
128;0;0;95;92
129;0;0;95;92
130;0;0;95;92
131;0;0;96;93
132;0;0;95;93
133;0;0;95;93
134;0;0;96;93
135;0;0;96;94
136;0;0;96;94
137;0;0;95;94
138;0;0;95;95
139;0;0;95;94
140;0;0;95;94
141;0;0;95;94
142;0;0;96;93
143;0;0;95;94
144;0;0;95;94
145;0;0;95;94
146;0;0;95;94
147;0;0;95;94
148;0;0;95;94
149;0;0;94;94
150;0;0;94;94
151;0;0;94;93
152;0;0;95;93
153;0;0;94;93
154;0;0;95;93
155;0;0;94;93
156;0;0;94;93
157;0;0;94;93
158;0;0;94;93
159;0;0;94;93
160;0;0;94;93
161;0;0;94;93
162;0;0;94;93
163;0;0;94;93
164;0;0;94;93
165;0;0;94;92
166;0;0;94;92
167;0;0;94;93
168;0;0;93;92
169;0;0;93;93
170;0;0;94;93
171;0;0;93;93
172;0;0;93;93
173;0;0;93;93
174;0;0;93;93
175;0;0;92;92
176;0;0;93;92
177;0;0;93;91
178;0;0;93;91
179;0;0;93;92
180;0;0;92;92
181;0;0;92;92
182;0;0;93;92
183;0;0;93;92
184;0;0;93;92
185;0;0;93;92
186;0;0;93;92
187;0;0;92;91
188;0;0;93;91
189;0;0;93;91
190;0;0;93;91
191;0;0;93;91
192;0;0;92;91
193;0;0;92;92
194;0;0;93;91
195;0;0;93;92
196;0;0;93;92
197;0;0;92;92
198;0;0;93;92
199;0;0;92;91
200;0;0;93;91
201;0;0;92;91
202;0;0;93;90
203;0;0;92;91
204;0;0;91;91
205;0;0;91;91
206;0;0;92;91
207;0;0;92;91
208;0;0;92;91
209;0;0;91;91
210;0;0;92;91
211;0;0;91;90
212;0;0;92;90
213;0;0;92;90
214;0;0;93;90
215;0;0;92;90
216;0;0;91;90
217;0;0;91;91
218;0;0;93;90
219;0;0;92;91
220;0;0;92;91
221;0;0;92;91
222;0;0;92;91
223;0;0;92;90
224;0;0;92;90
225;0;0;92;90
226;0;0;92;90
227;0;0;92;90
228;0;0;91;90
229;0;0;91;90
230;0;0;92;90
231;0;0;92;91
232;0;0;92;91
233;0;0;91;91
234;0;0;91;91
235;0;0;91;90
236;0;0;92;90
237;0;0;91;89
238;0;0;92;89
239;0;0;91;90
240;0;0;91;90
241;0;0;90;90
242;0;0;92;90
243;63;0;91;90
244;143;0;92;90
245;183;0;92;91
246;206;0;92;91
247;220;0;92;90
248;228;0;92;90
249;234;0;91;90
250;238;0;92;90
251;240;0;91;90
252;242;0;91;90
253;243;0;91;90
254;244;0;92;90
255;245;0;92;90
256;246;0;92;90
257;246;0;92;91
258;246;0;92;91
259;247;0;92;90
260;247;0;92;91
261;247;0;93;90
262;247;0;93;90
263;247;0;93;91
264;248;0;92;91
265;248;0;92;91
266;248;0;93;91
267;248;0;93;92
268;248;0;93;92
269;248;0;93;92
270;248;0;93;92
271;248;0;93;91
272;248;0;93;91
273;248;0;93;91
274;248;0;94;91
275;248;0;93;92
276;248;0;93;92
277;248;0;93;92
278;248;0;94;92
279;248;0;95;93
280;248;0;96;93
281;248;0;96;94
282;248;0;97;95
283;249;0;97;95
284;249;0;98;95
285;249;0;97;95
286;249;0;97;95
287;249;0;96;95
288;249;0;94;95
289;249;0;94;94
290;249;0;94;94
291;249;0;94;94
292;249;0;93;93
293;249;0;93;93
294;249;0;93;93
295;249;0;94;93
296;249;0;94;93
297;249;0;94;92
298;249;0;94;92
299;249;0;94;93
300;249;0;94;93
301;249;0;94;93
302;249;0;94;93
303;249;0;94;93
304;249;0;94;93
305;249;0;94;94
306;249;0;94;94
307;249;0;94;93
308;249;0;95;93
309;249;0;94;93
310;249;0;95;93
311;249;0;95;93
312;249;0;94;93
313;249;0;94;93
314;249;0;94;93
315;249;0;94;93
316;249;0;95;93
317;249;0;94;93
318;249;0;94;93
319;249;0;94;93
320;249;0;94;93
321;249;0;94;92
322;249;0;94;92
323;249;0;94;92
324;249;0;92;92
325;249;0;92;92
326;249;0;93;92
327;249;0;93;92
328;249;0;93;92
329;249;0;92;92
330;249;0;92;92
331;249;0;92;91
332;249;0;92;91
333;249;0;92;91
334;249;0;92;91
335;249;0;92;91
336;249;0;91;91
337;249;0;92;91
338;249;0;92;91
339;249;0;92;92
340;249;0;93;92
341;249;0;92;92
342;249;0;93;92
343;249;0;93;92
344;249;0;93;92
345;249;0;93;91
346;249;0;93;91
347;249;0;93;91
348;249;0;92;91
349;249;0;92;92
350;249;0;93;92
351;249;0;93;92
352;249;0;93;92
353;249;0;93;92
354;249;0;93;92
355;249;0;93;92
356;249;0;93;92
357;249;0;93;91
358;249;0;93;91
359;249;0;93;92
360;249;0;92;91
361;249;0;92;92
362;249;0;93;92
